GL_ratio,Lower Mill Gap,Upper Mill Gap,Conversion Time,Vorlauf Time,Tot Mash Time,Fraction Vorlauf Time,Vorlauf Rate,First Wort Rate,Moisture Pct,CGAI,Bushel Weight,ST Ratio,AA,DPower,Batch ID,OG Run,Lot ID,Mash Efficiency,dP Vorlauf Mean,dP Voraluf StDev,dP Vorlauf Range,dP Collection Mean,dP Collection StDev,dP Collection Range,assortment_on7,assortment_on6,assortment_on5,assortment_thru5,cellar_batch_id_selected,min_gravity,last_gravity,sieve_14,sieve_30,sieve_60,sieve_pan,max_gravity_time_collection,max_gravity_collection,max_gravity_time_wvorlauf,max_gravity_wvorlauf,max_gravity_time_from_vstart
1.41,1.15,1.75,30.18,18.51,48.685,0.38,35.26,39.67,5.2,78.2,43.1,40.3,59,167,20190725.01090 - PsycHOPathy - FV4002,136,SH0173696,84.99,1.22,0.5,2.08,1.99,1.6,7.322174072,68.4,24.7,5.9,1,20190725 - PsycHOPathy - FV4002,2.2,2.2,52.4408989,29.76628876,9.080559731,8.712249756,0,22.78,-3.67,23.36,14.84
1.41,1.15,1.75,30.01,15.17,45.182,0.336,35.29,39.63,4.9,78.9,40,42.7,82,165,20190730.01095 - PsycHOPathy - FV4004,137,SH0174129,86.97,0.57,0.12,0.68,1.61,1.74,7.710065842,66.2,23.6,8,2.2,20190730 - PsycHOPathy - FV4004,1.8,1.8,51.15857315,29.88904572,9.58562851,9.366750717,0,22.94,-1.17,22.96,14
1.41,1.15,1.75,30.51,15.17,45.684,0.332,35.4,39.65,4.9,78.9,40,42.7,82,165,20190730.01096 - PsycHOPathy - FV4004,138,SH0174129,87.89,0.52,0.24,1.11,1.29,1.32,6.950898647,66.2,23.6,8,2.2,20190730 - PsycHOPathy - FV4004,1.8,1.8,52.68023682,30.05956268,9.418042183,7.842156887,0,23.52,-1,23.54,14.17
1.41,1.15,1.75,29.84,16.01,45.849,0.349,35.34,39.67,4.9,78.9,40,42.7,82,165,20190801.01107 - PsycHOPathy - FV4001,139,SH0174129,89.56,0.68,0.27,1.3,1.6,1.51,8.481449127,66.2,23.6,8,2.2,20190801 - PsycHOPathy - FV4001,1.9,1.9,55.06999969,30.35000038,8.18999958,6.389999866,0.33,23.92,0.33,23.92,16.34
1.41,1.15,1.75,29.84,15.51,45.35,0.342,34.98,39.67,4.9,78.9,40,42.7,82,165,20190801.01108 - PsycHOPathy - FV4001,140,SH0174129,87.88,0.58,0.31,1.33,1.65,1.53,8.146873474,66.2,23.6,8,2.2,20190801 - PsycHOPathy - FV4001,1.9,1.9,7.800000191,30.40999985,10.21000004,8.710000038,0,23.46,-1.17,23.47,14.34
1.41,1.05,1.95,30.51,15.17,45.683,0.332,35.3,39.75,4.7,79.6,41.4,45.1,71,146,20190827.01134 - PsycHOPathy - FV4003,141,SH0175184,87.05,1.61,0.73,3.09,5.51,2.07,9.16061306,60.4,29.8,8.5,1.6,20190827 - PsycHOPathy - FV4003,2.1,2.2,46.79393005,35.01590729,10.45643616,7.733724594,0.67,24.26,0.67,24.26,15.84
1.41,1.15,1.75,30.18,15.84,46.015,0.344,34.89,39.67,4.7,79.6,41.4,45.1,71,146,20190827.01136 - PsycHOPathy - FV4003,142,SH0175184,87.06,0.87,0.47,1.86,2.23,1.63,8.063261032,60.4,29.8,8.5,1.6,20190827 - PsycHOPathy - FV4003,2.1,2.2,56.05199051,28.20721054,8.910829544,6.829970837,0,23.71,-1.17,23.74,14.67
1.41,1.15,1.75,33.35,15.17,48.518,0.313,35.35,39.55,5.6,78.2,40.5,44.7,74,143,20190905.01142 - PsycHOPathy - FV4002,143,SH0176035,88.8,0.86,0.32,1.39,2.25,1.75,8.216520309,74.5,19.4,5.3,0.8,20190905 - PsycHOPathy - FV4002,2,2.2,54.24542236,30.67056465,8.880887985,6.203125954,0.33,23.74,0.33,23.74,15.5
1.41,1.15,1.75,30.68,15,45.683,0.328,35.36,39.7,5.6,78.2,40.5,44.7,74,143,20190905.01143 - PsycHOPathy - FV4002,144,SH0176035,88,0.74,0.28,0.98,1.53,1.36,7.653297424,74.5,19.4,5.3,0.8,20190905 - PsycHOPathy - FV4002,2,2.2,49.30028534,33.41763306,10.39453697,6.887543201,0.17,23.59,0.17,23.59,15.17
1.41,1.15,1.75,30.68,15.17,45.852,0.331,35.36,39.72,5.6,78.2,40.5,44.7,74,143,20190912.01149 - PsycHOPathy - FV4001,145,SH0176035,88.6,0.83,0.22,1.17,1.89,1.6,8.882551193,74.5,19.4,5.3,0.8,20190912 - PsycHOPathy - FV4001,1.9,2,50.51387024,30.21962547,10.61523342,8.651270866,0.33,23.58,0.33,23.58,15.5
